Intensidad;Deninición;Explicación
1;Igual importancia;Dos criterios o elementos contribuyen de igual forma al cumplimiento del objetivo
3;Importancia moderada de un criterio sonbre el otro;La experiencia y el juicio favorecen levemente una actividad sobre la otra
5;Importancia esencial o fuerte;La experiencia y el juicio favorecen fuertemente una actividad sobre la otra
7;Importancia muy fuerte o demostrada;Una actividad es mucho más favorecida que la otra y su predominancia se demostró en la práctica predominancia se demostró en la práctica
9;Importancia extrema o absoluta;La evidencia que favorece una actividad sobre la otra es absoluta y totalmente clara
2, 4, 6, 8;Valores Intermedios;Cuando es necesario llegar a un compromiso entre dos sentencias adyacentes
